id,first_name,last_name,email,gender,id,stock_code,product_category,unit_price,quantity,customer_id
3,Kiele,McQuaker,kmcquaker2@ca.gov,F,701,GZQT9661,Outdoors,34.23,32,3
3,Kiele,McQuaker,kmcquaker2@ca.gov,F,1701,GZQT9661,Outdoors,34.23,32,3
3,Kiele,McQuaker,kmcquaker2@ca.gov,F,2701,GZQT9661,Outdoors,34.23,32,3
12,Alvie,Hulls,ahullsb@studiopress.com,M,1,HWLNKJW2,Outdoors,9.54,64,12
12,Alvie,Hulls,ahullsb@studiopress.com,M,2001,HWLNKJW2,Outdoors,9.54,64,12
12,Alvie,Hulls,ahullsb@studiopress.com,M,1001,HWLNKJW2,Outdoors,9.54,64,12
16,Donetta,Dantesia,ddantesiaf@meetup.com,F,1644,PLNK26X9,Outdoors,106.33,38,16
16,Donetta,Dantesia,ddantesiaf@meetup.com,F,2644,PLNK26X9,Outdoors,106.33,38,16
16,Donetta,Dantesia,ddantesiaf@meetup.com,F,2640,76WR36MX,Outdoors,18.62,63,16
16,Donetta,Dantesia,ddantesiaf@meetup.com,F,644,PLNK26X9,Outdoors,106.33,38,16
16,Donetta,Dantesia,ddantesiaf@meetup.com,F,1640,76WR36MX,Outdoors,18.62,63,16
16,Donetta,Dantesia,ddantesiaf@meetup.com,F,640,76WR36MX,Outdoors,18.62,63,16
17,Jerrome,Shambrook,jshambrookg@ustream.tv,M,2038,LZSWHOAQ,Outdoors,149.50,55,17
17,Jerrome,Shambrook,jshambrookg@ustream.tv,M,1038,LZSWHOAQ,Outdoors,149.50,55,17
17,Jerrome,Shambrook,jshambrookg@ustream.tv,M,38,LZSWHOAQ,Outdoors,149.50,55,17
20,Wyndham,Dillistone,wdillistonej@tinypic.com,M,184,9T7NR7QF,Outdoors,63.23,34,20
20,Wyndham,Dillistone,wdillistonej@tinypic.com,M,1184,9T7NR7QF,Outdoors,63.23,34,20
20,Wyndham,Dillistone,wdillistonej@tinypic.com,M,2184,9T7NR7QF,Outdoors,63.23,34,20
22,Leeanne,Turbefield,lturbefieldl@i2i.jp,F,1205,MJGMGJCA,Outdoors,145.95,23,22
22,Leeanne,Turbefield,lturbefieldl@i2i.jp,F,205,MJGMGJCA,Outdoors,145.95,23,22
22,Leeanne,Turbefield,lturbefieldl@i2i.jp,F,2205,MJGMGJCA,Outdoors,145.95,23,22
27,Olag,Kindread,okindreadq@statcounter.com,M,805,TPOFMPXW,Outdoors,48.24,58,27
27,Olag,Kindread,okindreadq@statcounter.com,M,2805,TPOFMPXW,Outdoors,48.24,58,27
27,Olag,Kindread,okindreadq@statcounter.com,M,1805,TPOFMPXW,Outdoors,48.24,58,27
29,Jobey,De'Vere - Hunt,jdeverehunts@sfgate.com,F,2107,MXPR15AQ,Outdoors,74.20,70,29
29,Jobey,De'Vere - Hunt,jdeverehunts@sfgate.com,F,1107,MXPR15AQ,Outdoors,74.20,70,29
29,Jobey,De'Vere - Hunt,jdeverehunts@sfgate.com,F,107,MXPR15AQ,Outdoors,74.20,70,29
36,Morris,Straneo,mstraneoz@rambler.ru,M,2684,UMJ0ZQET,Outdoors,98.57,82,36
36,Morris,Straneo,mstraneoz@rambler.ru,M,2032,F3PG7J2A,Outdoors,83.80,61,36
36,Morris,Straneo,mstraneoz@rambler.ru,M,1684,UMJ0ZQET,Outdoors,98.57,82,36
36,Morris,Straneo,mstraneoz@rambler.ru,M,32,F3PG7J2A,Outdoors,83.80,61,36
36,Morris,Straneo,mstraneoz@rambler.ru,M,1032,F3PG7J2A,Outdoors,83.80,61,36
36,Morris,Straneo,mstraneoz@rambler.ru,M,684,UMJ0ZQET,Outdoors,98.57,82,36
43,Dynah,Petchey,dpetchey16@prnewswire.com,F,1500,P3V3QQMR,Outdoors,74.92,30,43
43,Dynah,Petchey,dpetchey16@prnewswire.com,F,1828,7T9H2DAB,Outdoors,107.01,89,43
43,Dynah,Petchey,dpetchey16@prnewswire.com,F,500,P3V3QQMR,Outdoors,74.92,30,43
43,Dynah,Petchey,dpetchey16@prnewswire.com,F,2500,P3V3QQMR,Outdoors,74.92,30,43
43,Dynah,Petchey,dpetchey16@prnewswire.com,F,828,7T9H2DAB,Outdoors,107.01,89,43
43,Dynah,Petchey,dpetchey16@prnewswire.com,F,2828,7T9H2DAB,Outdoors,107.01,89,43
57,Tedda,Bounde,tbounde1k@example.com,F,601,D5VLJGRQ,Outdoors,40.11,22,57
57,Tedda,Bounde,tbounde1k@example.com,F,1601,D5VLJGRQ,Outdoors,40.11,22,57
57,Tedda,Bounde,tbounde1k@example.com,F,2601,D5VLJGRQ,Outdoors,40.11,22,57
66,Gib,Spearman,gspearman1t@hostgator.com,M,2809,917T46K5,Outdoors,143.85,30,66
66,Gib,Spearman,gspearman1t@hostgator.com,M,809,917T46K5,Outdoors,143.85,30,66
66,Gib,Spearman,gspearman1t@hostgator.com,M,1809,917T46K5,Outdoors,143.85,30,66
67,Inglebert,Marzella,imarzella1u@phpbb.com,M,1058,IW911FLR,Outdoors,43.14,18,67
67,Inglebert,Marzella,imarzella1u@phpbb.com,M,58,IW911FLR,Outdoors,43.14,18,67
67,Inglebert,Marzella,imarzella1u@phpbb.com,M,2058,IW911FLR,Outdoors,43.14,18,67
77,Drusy,Dalbey,ddalbey24@ebay.co.uk,F,1818,MES9U06N,Outdoors,146.77,2,77
77,Drusy,Dalbey,ddalbey24@ebay.co.uk,F,2818,MES9U06N,Outdoors,146.77,2,77
77,Drusy,Dalbey,ddalbey24@ebay.co.uk,F,818,MES9U06N,Outdoors,146.77,2,77
